	Token	Polarity	StdDev	Grades
202	aas	2.5	0.80623	[2, 3, 3, 4, 1, 2, 3, 2, 2, 3]
203	aayf	2.7	0.78102	[2, 3, 2, 4, 3, 2, 2, 3, 4, 2]
204	afu	-2.9	0.83066	[-3, -3, -3, -3, -3, -1, -4, -4, -2, -3]
205	alol	2.8	0.74833	[2, 2, 2, 3, 3, 2, 3, 4, 4, 3]
206	ambw	2.9	0.7	[2, 3, 4, 2, 3, 2, 3, 3, 4, 3]
207	aml	3.4	0.66332	[4, 3, 2, 4, 3, 3, 4, 4, 3, 4]
208	atab	-1.9	1.22066	[-2, 0, -1, -2, -1, -1, -2, -4, -4, -2]
209	awol	-1.3	0.78102	[0, -1, -1, -1, -1, -1, -2, -2, -3, -1]
210	ayc	0.2	0.9798	[0, 1, -1, 1, 0, 1, 0, -1, 2, -1]
211	ayor	-1.2	0.6	[-1, -1, -2, -2, -1, -1, -1, 0, -2, -1]
212	aug-00	0.3	1.18743	[2, 0, -2, 0, 0, 1, -1, 2, 1, 0]
213	bfd	-2.7	0.78102	[-3, -2, -4, -2, -3, -2, -3, -2, -4, -2]
214	bfe	-2.6	1.35647	[-3, -3, -4, -2, -3, -2, 1, -3, -4, -3]
215	bff	2.9	0.83066	[3, 3, 4, 2, 4, 2, 2, 3, 4, 2]
216	bffn	1.0	0.89443	[2, 1, -1, 1, 0, 1, 2, 1, 2, 1]
217	bl	2.3	1.1	[2, 1, 4, 1, 2, 2, 4, 3, 1, 3]
218	bsod	-2.2	1.07703	[-1, -4, -3, -3, 0, -2, -3, -2, -2, -2]
219	btd	-2.1	0.83066	[-1, -2, -3, -3, -3, -1, -3, -2, -1, -2]
220	btdt	-0.1	1.22066	[0, -1, 0, -1, 0, 3, 1, -1, -1, -1]
221	bz	0.4	1.35647	[-1, 0, 0, 0, 4, 1, -1, 1, 0, 0]
222	b^d	2.6	0.8	[3, 2, 2, 4, 3, 1, 3, 3, 3, 2]
223	cwot	-2.3	0.45826	[-3, -2, -2, -2, -2, -3, -2, -3, -2, -2]
224	d-':	-2.5	0.67082	[-3, -3, -2, -2, -2, -4, -2, -3, -2, -2]
225	d8	-3.2	0.6	[-3, -3, -3, -3, -4, -4, -2, -3, -3, -4]
226	d:	-2.9	0.83066	[-3, -3, -3, -3, -2, -4, -1, -3, -3, -4]
227	d:<	-3.2	0.9798	[-4, -4, -4, -1, -3, -3, -4, -2, -3, -4]
228	d;	-2.9	0.83066	[-1, -3, -3, -3, -3, -4, -2, -3, -3, -4]
229	d=	-3.0	0.89443	[-4, -3, -3, -3, -2, -4, -1, -3, -3, -4]
230	doa	-2.3	1.00499	[-2, -3, -3, -2, -2, -2, -4, 0, -2, -3]
231	dx	-3.0	0.63246	[-3, -2, -3, -3, -4, -3, -4, -2, -3, -3]
232	ez	1.5	0.67082	[3, 2, 2, 1, 1, 1, 2, 1, 1, 1]
233	fav	2.4	0.91652	[3, 1, 3, 2, 2, 3, 1, 2, 3, 4]
234	fcol	-1.8	0.74833	[-2, -2, -1, -2, -1, -2, -1, -3, -3, -1]
